"Name","dummy","transformer_model","test_score"
"sweepy-sweep-40","19","bert-base-uncased","0.4392699811202014"
"neat-sweep-39","19","bert-base-uncased","0.428716167317991"
"swept-sweep-38","18","bert-base-uncased","0.4052422323663673"
"comfy-sweep-37","18","bert-base-uncased","0.47052154195011336"
"devout-sweep-36","17","bert-base-uncased","0.4374816983894583"
"blooming-sweep-35","17","bert-base-uncased","0.4815329933549683"
"sunny-sweep-34","16","bert-base-uncased","0.4285072615661027"
"exalted-sweep-33","16","bert-base-uncased","0.4492123030757689"
"exalted-sweep-32","15","bert-base-uncased","0.3879755753875059"
"jolly-sweep-31","15","bert-base-uncased","0.4459899378514353"
"giddy-sweep-30","14","bert-base-uncased","0.3866969009826153"
"sweepy-sweep-29","14","bert-base-uncased","0.4431120210587891"
"fresh-sweep-28","13","bert-base-uncased","0.43654515201936167"
"flowing-sweep-27","13","bert-base-uncased","0.4632885211995864"
"rich-sweep-26","12","bert-base-uncased","0.4258487194758785"
"driven-sweep-25","12","bert-base-uncased","0.488828089375285"
"eager-sweep-24","11","bert-base-uncased","0.42541020623212406"
"summer-sweep-23","11","bert-base-uncased","0.4132609316947699"
"volcanic-sweep-22","10","bert-base-uncased","0.3960308056872038"
"zesty-sweep-21","10","bert-base-uncased","0.43961280714817574"
"trim-sweep-20","9","bert-base-uncased","0.394990366088632"
"driven-sweep-19","9","bert-base-uncased","0.46406693560436274"
"mild-sweep-18","8","bert-base-uncased","0.4137299771167048"
"prime-sweep-17","8","bert-base-uncased","0.45646925152677176"
"lucky-sweep-16","7","bert-base-uncased","0.4358636829018576"
"dark-sweep-15","7","bert-base-uncased","0.4253094910591472"
"sandy-sweep-14","6","bert-base-uncased","0.3763440860215054"
"northern-sweep-13","6","bert-base-uncased","0.4541612009911092"
"chocolate-sweep-12","5","bert-base-uncased","0.4245253657018363"
"sleek-sweep-11","5","bert-base-uncased","0.44074407440744073"
"sunny-sweep-10","4","bert-base-uncased","0.33827705900915117"
"vital-sweep-9","4","bert-base-uncased","0.44736478074422464"
"avid-sweep-8","3","bert-base-uncased","0.3872255489021956"
"sage-sweep-7","3","bert-base-uncased","0.48124191461837"
"ethereal-sweep-6","2","bert-base-uncased","0.3286933093848226"
"blooming-sweep-5","2","bert-base-uncased","0.34158954817637455"
"floral-sweep-4","1","bert-base-uncased","0.4402254523880154"
"polar-sweep-3","1","bert-base-uncased","0.4374448042390344"
"azure-sweep-2","0","bert-base-uncased","0.38595391127135914"
"worldly-sweep-1","0","bert-base-uncased","0.4175792917081496"
"leafy-sweep-20","9","bert-base-uncased","0.2192622950819672"
"devoted-sweep-19","9","bert-base-uncased",""
"atomic-sweep-18","8","bert-base-uncased","0.17232640648758235"
"ethereal-sweep-17","8","bert-base-uncased",""
"silvery-sweep-16","7","bert-base-uncased","0.19159981123171307"
"gentle-sweep-15","7","bert-base-uncased",""
"smart-sweep-14","6","bert-base-uncased","0.2300292764533668"
"pretty-sweep-13","6","bert-base-uncased","0.22817701989443767"
"happy-sweep-12","5","bert-base-uncased","0.2501281394156843"
"neat-sweep-10","4","bert-base-uncased","0.185595567867036"
"swept-sweep-9","4","bert-base-uncased","0.2475171886936593"
"comic-sweep-8","3","bert-base-uncased","0.21626373626373627"
"dry-sweep-7","3","bert-base-uncased",""
"stellar-sweep-6","2","bert-base-uncased","0.2688821752265861"
"stellar-sweep-5","2","bert-base-uncased","0.22487379531895368"
"kind-sweep-4","1","bert-base-uncased","0.16789739603575593"
"cosmic-sweep-3","1","bert-base-uncased","0.24525805028672257"
"fearless-sweep-2","0","bert-base-uncased","0.21780208851317753"
"feasible-sweep-1","0","bert-base-uncased","0.2639751552795031"
"solar-sweep-10","4","bert-base-uncased","0.25373961218836566"
"silver-sweep-9","4","bert-base-uncased","0.18071768266320795"
"lively-sweep-8","3","bert-base-uncased","0.23412526997840172"
"ancient-sweep-6","2","bert-base-uncased","0.1726133076181292"
"rose-sweep-5","2","bert-base-uncased",""
"northern-sweep-4","1","bert-base-uncased","0.19855222337125128"
"frosty-sweep-3","1","bert-base-uncased","0.2667852378835038"
"different-sweep-2","0","bert-base-uncased","0.1849948612538541"
"northern-sweep-1","0","bert-base-uncased","0.2561247216035635"
"brisk-terrain-637","","bert-base-uncased","0.0017470300489168414"
"crisp-water-636","","bert-base-uncased","0.0035285815102328866"
"upbeat-dust-635","","bert-base-uncased","0.008721437292865864"
"treasured-bee-634","","bert-base-uncased",""
"graceful-capybara-633","","bert-base-uncased","0.0007000350017500875"
"decent-serenity-632","","bert-base-uncased","0"
"royal-sweep-20","9","bert-base-uncased","0.35177625293146875"
"sleek-sweep-18","8","bert-base-uncased","0.4861745197691446"
"curious-sweep-17","8","bert-base-uncased","0.5182186234817814"
